,Date,Open,High,Low,Close,Volume
24962,2020-06-26 15:00:00,228.95000000,231.51000000,228.80000000,230.04000000,45080.76811000
24963,2020-06-26 16:00:00,230.04000000,230.29000000,228.15000000,229.37000000,35908.54528000
24964,2020-06-26 17:00:00,229.37000000,230.30000000,229.17000000,229.66000000,13741.90778000
24965,2020-06-26 18:00:00,229.65000000,230.30000000,229.34000000,229.52000000,12427.02127000
24966,2020-06-26 19:00:00,229.54000000,230.23000000,229.23000000,230.14000000,13175.62738000
24967,2020-06-26 20:00:00,230.14000000,230.79000000,229.94000000,230.23000000,11542.60252000
24968,2020-06-26 21:00:00,230.23000000,231.59000000,230.23000000,230.45000000,9820.88239000
24969,2020-06-26 22:00:00,230.44000000,231.15000000,230.02000000,230.10000000,9280.11643000
24970,2020-06-26 23:00:00,230.10000000,230.44000000,229.42000000,229.64000000,10382.07925000
24971,2020-06-27 00:00:00,229.66000000,229.84000000,228.51000000,229.73000000,21870.46863000
24972,2020-06-27 01:00:00,229.74000000,230.06000000,228.59000000,229.56000000,13242.69114000
24973,2020-06-27 02:00:00,229.57000000,229.83000000,228.73000000,229.37000000,11003.44687000
24974,2020-06-27 03:00:00,229.36000000,230.36000000,228.88000000,229.64000000,13911.40082000
24975,2020-06-27 04:00:00,229.65000000,230.00000000,228.89000000,229.64000000,10548.23376000
24976,2020-06-27 05:00:00,229.67000000,229.92000000,229.13000000,229.85000000,7086.63132000
24977,2020-06-27 06:00:00,229.85000000,230.73000000,229.56000000,230.65000000,14110.60267000
24978,2020-06-27 07:00:00,230.63000000,230.78000000,230.00000000,230.52000000,11205.86665000
24979,2020-06-27 08:00:00,230.52000000,231.42000000,230.13000000,230.36000000,18885.60959000
24980,2020-06-27 09:00:00,230.37000000,230.45000000,229.35000000,229.58000000,10119.81509000
24981,2020-06-27 10:00:00,229.56000000,230.30000000,229.26000000,229.50000000,13599.28413000
24982,2020-06-27 11:00:00,229.48000000,230.21000000,229.00000000,229.59000000,15656.31372000
24983,2020-06-27 12:00:00,229.59000000,230.05000000,229.18000000,229.74000000,9816.01134000
24984,2020-06-27 13:00:00,229.74000000,230.10000000,229.33000000,229.61000000,9804.43601000
24985,2020-06-27 14:00:00,229.60000000,229.72000000,228.14000000,228.96000000,24492.12498000
24986,2020-06-27 15:00:00,228.96000000,228.99000000,226.40000000,227.56000000,55910.94211000
24987,2020-06-27 16:00:00,227.55000000,228.00000000,224.30000000,225.93000000,86532.66301000
24988,2020-06-27 17:00:00,225.93000000,226.88000000,224.50000000,224.77000000,31897.05819000
24989,2020-06-27 18:00:00,224.78000000,225.70000000,224.22000000,225.07000000,17391.65530000
24990,2020-06-27 19:00:00,225.09000000,225.35000000,216.00000000,217.84000000,110196.88889000
24991,2020-06-27 20:00:00,217.81000000,220.14000000,216.62000000,218.90000000,68340.34499000
24992,2020-06-27 21:00:00,218.90000000,222.53000000,218.67000000,221.90000000,24010.52360000
24993,2020-06-27 22:00:00,221.91000000,222.05000000,219.54000000,219.63000000,25649.05557000
24994,2020-06-27 23:00:00,219.61000000,221.95000000,219.15000000,220.94000000,20668.54600000
24995,2020-06-28 00:00:00,220.94000000,220.94000000,219.01000000,219.80000000,24612.80209000
24996,2020-06-28 01:00:00,219.80000000,220.24000000,218.87000000,219.32000000,17475.27884000
24997,2020-06-28 05:00:00,219.32000000,220.75000000,218.32000000,218.60000000,15270.33366000
24998,2020-06-28 06:00:00,218.60000000,221.19000000,218.60000000,220.57000000,21274.05217000
24999,2020-06-28 07:00:00,220.58000000,221.00000000,219.74000000,220.58000000,11072.15956000
25000,2020-06-28 08:00:00,220.58000000,222.20000000,219.95000000,221.66000000,27002.43096000
25001,2020-06-28 09:00:00,221.67000000,223.99000000,221.28000000,223.46000000,35542.03507000
25002,2020-06-28 10:00:00,223.44000000,223.84000000,222.69000000,222.73000000,18914.04874000
25003,2020-06-28 11:00:00,222.73000000,224.89000000,222.73000000,223.32000000,28509.33640000
25004,2020-06-28 12:00:00,223.32000000,223.84000000,222.05000000,223.04000000,21635.58824000
25005,2020-06-28 13:00:00,223.05000000,223.49000000,222.64000000,223.03000000,10645.32075000
25006,2020-06-28 14:00:00,223.04000000,226.66000000,223.04000000,226.16000000,42684.49396000
25007,2020-06-28 15:00:00,226.18000000,226.45000000,225.12000000,226.15000000,18111.16003000
25008,2020-06-28 16:00:00,226.17000000,227.96000000,225.80000000,226.17000000,39545.94066000
25009,2020-06-28 17:00:00,226.17000000,227.10000000,225.37000000,227.10000000,17769.52552000
25010,2020-06-28 18:00:00,227.04000000,227.22000000,226.58000000,227.03000000,12582.94379000
25011,2020-06-28 19:00:00,227.03000000,227.46000000,223.84000000,224.08000000,24577.25807000
25012,2020-06-28 20:00:00,224.09000000,225.81000000,224.00000000,225.04000000,17555.05831000
25013,2020-06-28 21:00:00,225.07000000,225.76000000,224.54000000,225.21000000,6999.76602000
25014,2020-06-28 22:00:00,225.21000000,225.41000000,223.84000000,224.71000000,21783.79076000
25015,2020-06-28 23:00:00,224.72000000,225.24000000,223.90000000,224.93000000,11203.24521000
25016,2020-06-29 00:00:00,224.89000000,225.45000000,224.08000000,224.95000000,12201.72400000
25017,2020-06-29 01:00:00,224.95000000,226.69000000,224.91000000,226.69000000,24702.44792000
25018,2020-06-29 02:00:00,226.70000000,226.86000000,225.17000000,225.47000000,15523.23438000
25019,2020-06-29 03:00:00,225.47000000,225.47000000,224.23000000,224.56000000,17159.44893000
25020,2020-06-29 04:00:00,224.56000000,225.22000000,224.11000000,224.92000000,17099.58394000
25021,2020-06-29 05:00:00,224.92000000,226.15000000,224.44000000,225.42000000,38395.12218000
25022,2020-06-29 06:00:00,225.43000000,225.44000000,223.21000000,223.39000000,41833.96688000
25023,2020-06-29 07:00:00,223.40000000,223.60000000,222.42000000,222.90000000,27923.04900000
25024,2020-06-29 08:00:00,222.89000000,223.16000000,221.26000000,223.05000000,34282.94904000
25025,2020-06-29 09:00:00,223.05000000,224.45000000,222.44000000,224.16000000,25388.96522000
25026,2020-06-29 10:00:00,224.14000000,224.30000000,222.94000000,223.41000000,14437.61217000
25027,2020-06-29 11:00:00,223.40000000,223.75000000,222.62000000,223.67000000,15955.62416000
25028,2020-06-29 12:00:00,223.68000000,225.13000000,222.81000000,224.36000000,34033.57339000
25029,2020-06-29 13:00:00,224.36000000,224.48000000,221.72000000,222.49000000,39276.52557000
25030,2020-06-29 14:00:00,222.50000000,223.71000000,222.34000000,222.52000000,24711.31506000
25031,2020-06-29 15:00:00,222.53000000,224.31000000,222.50000000,223.96000000,21367.43635000
25032,2020-06-29 16:00:00,223.96000000,224.78000000,223.58000000,224.21000000,18185.95233000
25033,2020-06-29 17:00:00,224.19000000,226.51000000,223.99000000,226.43000000,30446.29997000
25034,2020-06-29 18:00:00,226.42000000,227.20000000,225.68000000,225.77000000,24524.42421000
25035,2020-06-29 19:00:00,225.79000000,226.41000000,225.75000000,226.06000000,8051.74376000
25036,2020-06-29 20:00:00,226.07000000,228.04000000,226.07000000,227.47000000,25885.43809000
25037,2020-06-29 21:00:00,227.47000000,229.09000000,227.47000000,228.36000000,25782.28262000
25038,2020-06-29 22:00:00,228.36000000,229.96000000,227.66000000,227.84000000,45101.23172000
25039,2020-06-29 23:00:00,227.81000000,228.49000000,227.28000000,227.93000000,15645.57153000
25040,2020-06-30 00:00:00,227.98000000,228.70000000,227.39000000,227.62000000,14700.22721000
25041,2020-06-30 01:00:00,227.62000000,228.21000000,226.78000000,228.05000000,20042.93214000
25042,2020-06-30 02:00:00,228.06000000,228.18000000,227.21000000,227.73000000,12709.74487000
25043,2020-06-30 03:00:00,227.75000000,227.77000000,227.00000000,227.02000000,11425.72308000
25044,2020-06-30 04:00:00,227.01000000,227.51000000,226.28000000,226.41000000,15807.79482000
25045,2020-06-30 05:00:00,226.42000000,226.84000000,225.84000000,226.06000000,16842.85213000
25046,2020-06-30 06:00:00,226.06000000,227.29000000,225.95000000,227.29000000,18129.79021000
25047,2020-06-30 07:00:00,227.28000000,227.49000000,226.39000000,226.81000000,16782.79631000
25048,2020-06-30 08:00:00,226.82000000,226.83000000,226.00000000,226.11000000,11593.11095000
25049,2020-06-30 09:00:00,226.10000000,227.65000000,226.06000000,226.92000000,16905.49223000
